"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","0","63","1","0.000000","0","0"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","0","104","1","0.000000","0","0"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","0","63","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","9","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","28","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","9","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","43","1","0.000000","0","0"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Mud.M_Mud","0","56","1","1","26.084145","0","1630"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Derbis.M_Derbis","0","28","2","1","11.863268","0","412"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Basic_Shape.M_Basic_Shape","0","46","9","1","25.853626","0","763"
"/Game/Realistic_Starter_VFX_Pack_Vol2/DemoRoom/Materials/M_DemoWall.M_DemoWall","0","69","10","1","53.326702","0","782"
"/Game/MilitaryWeapSilver/FX/Materials/M_Tracer_A.M_Tracer_A","0","18","5","1","9.589947","0","59"
"/Game/GothicTemple/Materials/Shaders/M_Default.M_Default","0","14","9","1","8.850509","0","39"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","28","1","0.000000","0","0"
"/Game/GothicTemple/Environment/Props/Backdrop/M_Backdrop.M_Backdrop","0","23","5","1","11.813434","0","76"
"/Game/FPWeapon/Materials/BaseMaterial.BaseMaterial","0","0","37","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","84","1","0.000000","0","0"
"/WebBrowserWidget/WebTexture_TM.WebTexture_TM","0","16","1","1","4.751815","0","149"
"/WebBrowserWidget/WebTexture_M.WebTexture_M","0","11","1","1","2.783182","0","76"
"/Game/Realistic_Starter_VFX_Pack_Vol2/DemoRoom/Materials/DefaultTextMaterialTranslucentUnlit.DefaultTextMaterialTranslucentUnlit","0","24","6","1","12.512581","0","303"
"/Engine/TemplateResources/M_Template_Master.M_Template_Master","0","0","37","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","13","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","13","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","75","2","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","0","6","1","0.000000","0","0"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","0","104","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","56","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","101","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","167","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","1288","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","31","1","0.000000","0","0"
"/Game/_Main/Zombie/ZombieGirl_Material_ncl1_2.ZombieGirl_Material_ncl1_2","0","28","1","1","14.418767","0","422"
"/Game/_Main/Zombie/ZombieGirl_Material_ncl1_1.ZombieGirl_Material_ncl1_1","0","28","1","1","14.431417","0","433"
"/Game/_Main/Zombie/ZombieGirl_Material.ZombieGirl_Material","0","28","1","1","14.672545","0","433"
"/Game/_Main/Character/M_Man_Body.M_Man_Body","0","28","6","1","14.162096","0","413"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","66","6","0.000000","0","9"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Bubble_B.M_Bubble_B","0","27","1","1","8.812182","0","404"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Water_Splat.M_Water_Splat","0","27","1","1","9.041927","0","404"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Slash.M_Slash","0","27","8","1","8.920126","0","314"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Smoke_Ground_C.M_Smoke_Ground_C","0","72","1","1","32.572708","0","2659"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Splat_A.M_Splat_A","0","27","6","1","9.270180","0","384"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Blood_C.M_Blood_C","0","45","1","1","14.967932","0","1067"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Glow_C.M_Glow_C","0","36","1","1","12.032763","0","701"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Smoke_Wisp.M_Smoke_Wisp","0","72","8","1","32.866127","0","2574"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Smoke_Puff_A.M_Smoke_Puff_A","0","72","8","1","33.708611","0","2623"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Smoke_Ground.M_Smoke_Ground","0","72","1","1","32.639317","0","2598"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Smoke_Ground_B.M_Smoke_Ground_B","0","72","1","1","32.682774","0","2647"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Smoke_A.M_Smoke_A","0","96","1","1","42.510941","0","1426"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Smoke_C.M_Smoke_C","0","72","1","1","32.898315","0","1036"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Rock_B.M_Rock_B","0","120","1","1","51.874958","0","2353"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Paper.M_Paper","0","72","1","1","31.757099","0","1266"
